name,地點,lat,lng,type
汾陽宮,臺北市北投區石牌路一段58巷28弄臨7號,25.11251,121.5121,T
農禪寺,臺北市北投區大業路65巷89號,25.12277,121.4958,T
關渡萬善同公祠,臺北市北投區中央北路四段583巷10弄26號,25.12538,121.4663,T
福慈宮,臺北市北投區中央北路四段30巷臨68號,25.13799,121.4762,T
石牌玄帝宮,臺北市北投區自強街31巷40號,25.11152,121.5124,T
佛樺靜舍,臺北市北投區湖底路20之7號,25.14781,121.538,T
北投天保宮,臺北市北投區中和街446巷74號,25.14678,121.496,T
屈原宮,臺北市北投區洲美街122號,25.09963,121.5057,T
明山宮,臺北市北投區行義路臨115號,25.1279,121.5291,T
木柵忠順廟,臺北市文山區中崙街13號,24.98365,121.5646,T
指南宮,臺北市文山區萬壽路115號,24.97987,121.5869,T
木柵集應廟,臺北市文山區保儀路76號,24.98736,121.5685,T
樟山寺,臺北市文山區老泉街45巷29號,24.97294,121.5794,T
天恩宮,臺北市文山區指南路38巷37之2號,24.97038,121.5922,T
慈光寺,臺北市文山區萬芳路26巷5號,24.99512,121.5691,T
大慈佛社,臺北市文山區試院路4巷22號,24.9895,121.5505,T
祥光寺,臺北市文山區萬壽路63號,24.98893,121.5811,T
景美集應廟,臺北市文山區景美街37號,24.99188,121.5417,T
明德宮,臺北市文山區老泉街45巷27之1號,24.96997,121.5788,T
萬慶巖清水祖師廟,臺北市文山區萬慶街124號,24.99526,121.5362,T
光淨寺,臺北市文山區興隆路四段1巷88號,24.99118,121.5599,T
文山興安宮,臺北市文山區仙岩路16巷64號,24.9964,121.5502,T
頂公館福德宮,臺北市文山區公館街44之1號,25.00549,121.5377,T
西門智慧圖書館,臺北市中正區中華路一段51-1號捷運西門地下街,25.04488,121.5092,L
東區地下街智慧圖書館,臺北市大安區大安路1段77號東區地下街3號店鋪,25.04144,121.546,L
松山機場智慧圖書館,臺北市松山區敦化北路338號地下1樓,25.06298,121.5518,L
太陽圖書館,臺北市萬華區青年路65號,25.02494,121.5037,L
百齡智慧圖書館,臺北市士林區福港街205號,25.08621,121.5179,L
福德智慧圖書館,臺北市信義區福德街15號2樓,25.03624,121.5797,L
古亭智慧圖書館,臺北市中正區寧波西街286號,25.02551,121.5105,L
松山分館,臺北市八德路四段688號5-8樓,25.04987,121.5768,L
民生分館,臺北市敦化北路199巷5號4、5樓,25.05697,121.5515,L
三民分館,臺北市民生東路五段163-1號5、6樓,25.05927,121.5628,L
中崙分館,臺北市長安東路二段229號7-10樓,25.04849,121.546,L
啟明分館,臺北市敦化北路155巷76號,25.05434,121.5515,L
永春分館,臺北市松山路294號3-4樓,25.04309,121.5776,L
三興分館,臺北市吳興街156巷6號4、5樓,25.02908,121.5612,L
六合分館,臺北市信義區松仁路240巷19號3-5樓,25.02454,121.5689,L
總館,臺北市建國南路二段125號,25.02915,121.5384,L
道藩分館,臺北市辛亥路三段11號3樓,25.02158,121.544,L
大安分館,臺北市辛亥路三段223號4、5樓,25.01609,121.5507,L
延吉民眾閱覽室,臺北市延吉街236巷17號3、4樓,25.03641,121.5551,L
成功民眾閱覽室,臺北市和平東路二段311巷29號4樓,25.02543,121.5453,L
龍安民眾閱覽室,臺北市永康街60號2-3樓,25.02856,121.5294,L
中山分館,臺北市松江路367號8樓,25.06438,121.5335,L
長安分館,臺北市長安西路3號4樓,25.05021,121.521,L
大直分館 (含大直書閣),臺北市大直街25號3-5樓,25.08188,121.5468,L
恆安民眾閱覽室,臺北市民權東路一段71巷19號,25.06337,121.5272,L
王貫英先生紀念圖書館,臺北市汀州路二段265號,25.02255,121.5238,L
城中分館,臺北市濟南路二段46號3樓,25.04033,121.5309,L
南機場借還書工作站,臺北市中正區中華路二段315巷16號1樓,25.0284,121.5069,L
延平分館,臺北市保安街47號,25.05917,121.5121,L
大同分館,臺北市重慶北路三段318號,25.07426,121.5133,L
建成分館,臺北市民生西路198-20號4樓,25.0569,121.5161,L
蘭州民眾閱覽室,臺北市昌吉街57號4樓之6,25.06606,121.5151,L
龍山分館,臺北市桂林路65巷6號,25.03855,121.5023,L
東園分館,臺北市東園街199號,25.02266,121.4981,L
西園分館,臺北市興寧街6號3-6樓,25.03219,121.5017,L
萬華分館,臺北市東園街19號5-7樓,25.0277,121.4958,L
柳鄉民眾閱覽室,臺北市環河南路二段102號4樓,25.03684,121.4956,L
景美分館,臺北市羅斯福路五段176巷50號2-4樓,25.00362,121.5363,L
木柵分館,臺北市保儀路13巷3號3、4樓,24.98851,121.5692,L
永建分館,臺北市木柵路一段177號3-4樓,24.98781,121.551,L
萬興分館,臺北市萬壽路27號4-5樓,24.98869,121.5765,L
文山分館,臺北市興隆路二段160號7-9樓,25.00159,121.5514,L
力行分館,臺北市一壽街22號5-8樓,24.97958,121.5565,L
景新分館,臺北市景後街151號5-10樓,24.98992,121.5419,L
安康民眾閱覽室,臺北市興隆路四段105巷1號4樓,24.98753,121.5609,L
萬芳民眾閱覽室,臺北市萬美街一段25號1-2樓,25.00222,121.5692,L
公訓圖書站,臺北市文山區萬美街2段21巷20號5樓(E區),25.00458,121.561,L
南港分館,臺北市市民大道八段367號2-3樓,25.05373,121.608,L
舊莊分館,臺北市舊莊街一段91巷11號2-5樓,25.04131,121.6195,L
親子美育數位圖書館,臺北市南港區研究院路二段61巷15號,25.04418,121.6176,L
龍華民眾閱覽室,臺北市東新街63巷8號,25.04759,121.587,L
北原會館借還書工作站,臺北市向陽路49號4樓,25.05399,121.5945,L
葫蘆堵分館 （含葫蘆堵書閣）,臺北市延平北路五段136巷1號3-9樓,25.07919,121.5105,L
天母分館,臺北市中山北路七段154巷6號3、4樓,25.12335,121.533,L
士林分館臨時替代館(天文館),臺北市基河路363號2樓,25.09583,121.5183,L
李科永紀念圖書館,臺北市中正路15號,25.04083,121.4641,L
北投分館,臺北市光明路251號,25.1363,121.5063,L
稻香分館,臺北市稻香路81號3、4樓,25.14096,121.4889,L
石牌分館,臺北市明德路208巷5號3-10樓,24.97621,121.4598,L
清江分館,臺北市公館路198號3樓,25.12777,121.507,L
吉利分館,臺北市立農街一段366號5-8樓,25.11931,121.5084,L
永明民眾閱覽室,臺北市石牌路二段 115 號 7-8 樓,25.11807,121.5172,L
秀山民眾閱覽室,臺北市中和街534號5-9樓,25.14554,121.4932,L
內湖分館,臺北市民權東路六段99號6樓,25.06932,121.5891,L
東湖分館,臺北市五分街6號,25.06741,121.6126,L
西湖分館,臺北市內湖路一段594號,25.0789,121.5773,L
西中分館,臺北市內湖路1段285巷66號1-2樓,25.08473,121.5666,L
臺北市 市立螢橋國小,121.5145,25.02494,,PRI
臺北市 市立國語實小,121.5108,25.03065,,PRI
臺北市 市立忠孝國小,121.5315,25.04293,,PRI
臺北市 市立河堤國小,121.5222,25.02291,,PRI
臺北市 市立南門國小,121.5094,25.03413,,PRI
臺北市 市立大學附小,121.5157,25.03578,,PRI
臺北市 市立忠義國小,121.5062,25.0297,,PRI
臺北市 市立東門國小,121.5209,25.03858,,PRI
臺北市 市立河堤國小補校,121.5222,25.02291,,PRI
臺北市 市立雙蓮國小,121.5167,25.06016,,PRI
臺北市 市立太平國小,121.5115,25.0614,,PRI
臺北市 市立大龍國小,121.5167,25.0734,,PRI
臺北市 市立永樂國小補校,121.5111,25.0613,,PRI
臺北市 市立蓬萊國小,121.5164,25.056,,PRI
臺北市 市立永樂國小,121.5111,25.0613,,PRI
臺北市 市立延平國小,121.5125,25.06603,,PRI
臺北市 市立大龍國小補校,121.5167,25.0734,,PRI
臺北市 市立日新國小,121.5165,25.05445,,PRI
臺北市 市立大同國小,121.5161,25.06477,,PRI
臺北市 市立大橋國小,121.5125,25.0641,,PRI
臺北市 市立中山國小,121.5263,25.06289,,PRI
臺北市 市立長春國小,121.5338,25.05495,,PRI
臺北市 市立五常國小,121.5415,25.06408,,PRI
臺北市 市立懷生國小,121.5418,25.04523,,PRI
臺北市 市立中正國小,121.5394,25.05066,,PRI
臺北市 市立大直國小,121.5465,25.08026,,PRI
臺北市 市立吉林國小,121.5293,25.05465,,PRI
臺北市 市立中山國小補校,121.5263,25.06289,,PRI
臺北市 市立長安國小,121.5302,25.04951,,PRI
臺北市 市立大佳國小,121.5364,25.07338,,PRI
臺北市 市立永安國小,121.5494,25.07983,,PRI
臺北市 市立濱江國小,121.5609,25.0772,,PRI
臺北市 市立松山國小,121.578,25.05029,,PRI
臺北市 市立民生國小,121.5523,25.05643,,PRI
臺北市 市立三民國小,,25.06322,121.5643,PRI
臺北市 市立西松國小,,25.05233,121.5636,PRI
臺北市 市立民權國小,,25.06242,121.5621,PRI
臺北市 市立健康國小,,25.05668,121.5628,PRI
臺北市 市立敦化國小,,25.04921,121.5486,PRI
臺北市 市立民族國小,,25.05965,121.5518,PRI
臺北市 市立西松國小補校,,25.05233,121.5636,PRI
臺北市 國立臺北教育大學附小,,25.02507,121.5409,PRI
臺北市 私立新民小學,,25.02223,121.5317,PRI
臺北市 市立幸安國小,,25.03758,121.5349,PRI
臺北市 市立金華國小,,25.03224,121.5278,PRI
臺北市 市立公館國小,,25.01242,121.5429,PRI
臺北市 市立和平國小（籌備處）,,25.02071,121.5467,PRI
臺北市 私立復興小學,,25.03943,121.5484,PRI
臺北市 市立龍安國小,,25.02392,121.5349,PRI
臺北市 市立建安國小,,25.02935,121.5462,PRI
臺北市 市立古亭國小,,25.0206,121.5288,PRI
臺北市 市立新生國小,,25.02968,121.5333,PRI
臺北市 市立和平實實驗小學,,25.02071,121.5467,PRI
