土地區段位置或建物區門牌,lng,lat,cluster
臺北市大安區市民大道四段121號,121.5497,25.04488,3
臺北市大同區赤峰街31號,121.5194,25.0542,3
臺北市松山區富錦街361號,121.5582,25.06074,2
臺北市大安區信義路四段31號,121.5448,25.03359,3
臺北市大安區羅斯福路三段283巷14弄1號,121.5318,25.01855,1
臺北市大安區樂業街1號,121.5502,25.02366,3
臺北市大安區仁愛路四段408巷1號,121.544,25.0383,3
臺北市文山區永安街48巷1號,121.5694,24.98548,1
臺北市松山區八德路三段12巷52弄1號,121.5506,25.04613,3
臺北市大同區大龍街241號,121.5159,25.07108,4
臺北市松山區光復北路11巷61號,121.5605,25.05015,3
臺北市中正區汀州路一段340巷3弄1號,121.5124,25.02608,4
臺北市松山區民生東路五段69巷1號,121.5581,25.05905,1
臺北市信義區逸仙路31號,121.563,25.04062,3
臺北市大安區臥龍街121號,121.5491,25.02001,1
臺北市大安區青田街2巷1號,121.5318,25.02862,1
臺北市士林區福林路100巷55弄1號,121.5326,25.09656,2
臺北市士林區福志路31號,121.5313,25.09836,2
臺北市中正區金門街1號,121.5249,25.02317,3
臺北市北投區公?路255巷31號,121.5622,25.12261,2
臺北市松山區南京東路五段291巷56弄1號,121.5661,25.05395,1
臺北市中山區中山北路二段36巷1號,121.5222,25.05438,3
臺北市信義區忠孝東路五段71巷12弄1號,121.5649,25.04132,1
臺北市北投區承德路七段164巷1號,121.5087,25.11334,2
臺北市大安區新生南路二段61號,121.5345,25.028,1
臺北市大安區復興南路二段210巷1號,121.5429,25.02661,1
臺北市大安區安和路一段78巷31號,121.5504,25.03519,3
臺北市松山區八德路二段437巷1弄1號,121.547,25.04881,3
臺北市大安區四維路61號,121.5481,25.03472,3
臺北市松山區民權東路三段121號,121.5458,25.06226,1
臺北市士林區仰德大道三段250巷1號,121.5498,25.12672,2
臺北市士林區大亨路6巷1號,121.5485,25.14304,2
臺北市中山區南京東路二段115巷3弄1號,121.5337,25.05261,3
臺北市中正區臨沂街29巷1號,121.53,25.04023,3
臺北市中正區仁愛路二段61號,121.5301,25.03848,3
臺北市松山區敦化北路165巷1號,121.5501,25.05488,3
臺北市大同區迪化街二段151號,121.5104,25.06726,1
臺北市中正區杭州南路一段77巷1號,121.5259,25.03924,3
臺北市松山區光復北路11巷31號,121.5587,25.0496,3
臺北市信義區松勤街91號,121.5651,25.03198,3
臺北市松山區八德路三段158巷31號,121.5559,25.04751,3
臺北市大安區市民大道三段181號,121.5376,25.0446,3
臺北市大安區復興南路二段151巷1號,121.5438,25.02855,3
臺北市大安區信義路四段53巷1號,121.5453,25.03358,3
臺北市信義區富陽街31號,121.5565,25.02292,4
臺北市大安區瑞安街208巷31號,121.5406,25.02947,1
臺北市士林區德行東路91號,121.5277,25.1076,4
臺北市信義區松高路61號,121.5679,25.03906,3
臺北市大安區金華街211號,121.5286,25.02998,3
臺北市士林區通河街61號,121.5221,25.08025,2
臺北市信義區永吉路30巷121號,121.5689,25.04295,3
臺北市松山區八德路四段211號,121.5642,25.049,3
臺北市中山區樂群二路30巷31號,121.5533,25.07902,1
臺北市中正區南海路2巷1號,121.5178,25.03216,4
臺北市大安區新生南路一段165巷1號,121.5333,25.03432,3
臺北市信義區福德街1號,121.5786,25.03611,1
臺北市大安區建國南路一段301號,121.5383,25.03542,1
臺北市中山區南京東路二段21巷1號,121.5288,25.05245,3
臺北市大安區信義路四段265巷1號,121.5544,25.03358,3
臺北市中正區臨沂街31號,121.5299,25.04,3
臺北市大安區仁愛路四段345巷5弄1號,121.5543,25.03841,3
臺北市信義區松仁路211號,121.5685,25.02688,1
臺北市松山區南京東路四段53巷3弄1號,121.551,25.05229,3
臺北市士林區中山北路六段31號,121.5249,25.10343,4
臺北市大安區青田街6巷1號,121.5319,25.02822,1
臺北市信義區松山路541巷1號,121.5783,25.03783,1
臺北市中正區臨沂街75巷1號,121.5281,25.03498,3
臺北市中正區臨沂街19巷1號,121.5305,25.04202,3
臺北市中山區松江路164巷1號,121.5311,25.05571,3
臺北市大安區敦化南路一段177巷12弄1號,121.5498,25.04314,3
臺北市大安區浦城街6巷1號,121.5267,25.02409,3
臺北市大安區信義路二段44巷1號,121.5255,25.03338,3
臺北市松山區民生東路五段69巷4弄31號,121.5599,25.06013,1
臺北市內湖區內湖路二段103巷1號,121.5812,25.08377,2
臺北市南港區同德路31號,121.5841,25.04537,4
臺北市文山區木柵路三段85巷25弄1號,121.5674,24.98991,4
臺北市松山區南京東路五段250巷18弄31號,121.5681,25.05055,4
臺北市士林區德行西路62巷1號,121.5247,25.10651,4
臺北市信義區福德街31號,121.5798,25.03645,1
臺北市松山區八德路四段17巷1號,121.5633,25.04938,3
臺北市中山區樂群二路30巷61號,121.5533,25.07902,1
臺北市大安區光復南路420巷1號,121.5571,25.0364,3
臺北市信義區松平路121號,121.5684,25.0304,1
臺北市松山區光復南路58巷1號,121.5555,25.04544,3
